Grid	Lat/Long hddd.ddddd°
Datum	South American '69

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track actual: 06 JUN 2018 14:41	06-06-2018 14:41:44 (UTC-4)	2:32:12	10.5 km	4 kph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	S34.97464 W71.22072	06-06-2018 14:41:44 (UTC-4)	212 m
Trackpoint	S34.97447 W71.22074	06-06-2018 14:41:50 (UTC-4)	180 m		19 m	0:00:06	11 kph	357° true
Trackpoint	S34.97483 W71.22059	06-06-2018 14:41:56 (UTC-4)	206 m		42 m	0:00:06	25 kph	161° true
Trackpoint	S34.97484 W71.22060	06-06-2018 14:42:02 (UTC-4)	205 m		2 m	0:00:06	1.0 kph	229° true
Trackpoint	S34.97475 W71.22063	06-06-2018 14:42:08 (UTC-4)	195 m		10 m	0:00:06	6 kph	345° true
Trackpoint	S34.97479 W71.22062	06-06-2018 14:42:14 (UTC-4)	202 m		4 m	0:00:06	3 kph	170° true
Trackpoint	S34.97478 W71.22061	06-06-2018 14:42:20 (UTC-4)	203 m		2 m	0:00:06	0.9 kph	53° true
Trackpoint	S34.97476 W71.22060	06-06-2018 14:42:26 (UTC-4)	206 m		2 m	0:00:06	1.5 kph	14° true
Trackpoint	S34.97479 W71.22051	06-06-2018 14:42:32 (UTC-4)	207 m		9 m	0:00:06	5 kph	111° true
Trackpoint	S34.97486 W71.22030	06-06-2018 14:42:38 (UTC-4)	207 m		20 m	0:00:06	12 kph	111° true
Trackpoint	S34.97490 W71.22011	06-06-2018 14:42:44 (UTC-4)	207 m		18 m	0:00:06	11 kph	103° true
Trackpoint	S34.97493 W71.21990	06-06-2018 14:42:50 (UTC-4)	207 m		19 m	0:00:06	12 kph	101° true
Trackpoint	S34.97497 W71.21970	06-06-2018 14:42:56 (UTC-4)	207 m		19 m	0:00:06	11 kph	103° true
Trackpoint	S34.97500 W71.21953	06-06-2018 14:43:02 (UTC-4)	207 m		16 m	0:00:06	10 kph	103° true
Trackpoint	S34.97502 W71.21937	06-06-2018 14:43:08 (UTC-4)	206 m		15 m	0:00:06	9 kph	98° true
