Grid	Lat/Long hddd.ddddd°
Datum	South American '69

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track actual: 08 JUN 2018 12:55	08-06-2018 12:55:35 (UTC-4)	3:52:01	16.6 km	4 kph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	S34.99372 W71.25956	08-06-2018 12:55:35 (UTC-4)	183 m
Trackpoint	S34.99373 W71.25956	08-06-2018 12:55:59 (UTC-4)	178 m		1 m	0:00:24	0.1 kph	225° true
Trackpoint	S34.99372 W71.25957	08-06-2018 12:56:26 (UTC-4)	181 m		0 m	0:00:27	0.1 kph	308° true
Trackpoint	S34.99372 W71.25957	08-06-2018 12:56:45 (UTC-4)	183 m		0 m	0:00:19	0.1 kph	332° true
Trackpoint	S34.99371 W71.25955	08-06-2018 12:57:31 (UTC-4)	185 m		2 m	0:00:46	0.2 kph	40° true
Trackpoint	S34.99369 W71.25953	08-06-2018 12:58:21 (UTC-4)	184 m		3 m	0:00:50	0.2 kph	40° true
Trackpoint	S34.99369 W71.25953	08-06-2018 12:59:16 (UTC-4)	183 m		1 m	0:00:55	0.1 kph	149° true
Trackpoint	S34.99369 W71.25953	08-06-2018 13:00:01 (UTC-4)	183 m		1 m	0:00:45	0.1 kph	279° true
Trackpoint	S34.99370 W71.25953	08-06-2018 13:00:45 (UTC-4)	182 m		1 m	0:00:44	0.1 kph	175° true
Trackpoint	S34.99370 W71.25953	08-06-2018 13:01:07 (UTC-4)	182 m		0 m	0:00:22	0.0 kph	221° true
Trackpoint	S34.99370 W71.25955	08-06-2018 13:01:27 (UTC-4)	182 m		1 m	0:00:20	0.2 kph	274° true
Trackpoint	S34.99372 W71.25956	08-06-2018 13:01:52 (UTC-4)	184 m		2 m	0:00:25	0.3 kph	201° true
Trackpoint	S34.99374 W71.25954	08-06-2018 13:02:24 (UTC-4)	188 m		3 m	0:00:32	0.3 kph	143° true
Trackpoint	S34.99374 W71.25954	08-06-2018 13:02:30 (UTC-4)	189 m		0 m	0:00:06	0.1 kph	336° true
Trackpoint	S34.99379 W71.25945	08-06-2018 13:02:35 (UTC-4)	190 m		10 m	0:00:05	7 kph	123° true
Trackpoint	S34.99384 W71.25942	08-06-2018 13:02:47 (UTC-4)	192 m		6 m	0:00:12	2 kph	153° true
Trackpoint	S34.99384 W71.25942	08-06-2018 13:02:53 (UTC-4)	192 m		0 m	0:00:06	0.3 kph	166° true
Trackpoint	S34.99371 W71.25963	08-06-2018 13:03:05 (UTC-4)	191 m		25 m	0:00:12	7 kph	306° true
Trackpoint	S34.99370 W71.25964	08-06-2018 13:03:12 (UTC-4)	191 m		2 m	0:00:07	0.9 kph	326° true
Trackpoint	S34.99369 W71.25965	08-06-2018 13:03:14 (UTC-4)	191 m		1 m	0:00:02	2 kph	308° true
Trackpoint	S34.99364 W71.25974	08-06-2018 13:03:24 (UTC-4)	193 m		10 m	0:00:10	3 kph	307° true
Trackpoint	S34.99356 W71.25993	08-06-2018 13:03:39 (UTC-4)	194 m		20 m	0:00:15	5 kph	296° true
Trackpoint	S34.99341 W71.26035	08-06-2018 13:03:51 (UTC-4)	195 m		41 m	0:00:12	12 kph	294° true
Trackpoint	S34.99330 W71.26063	08-06-2018 13:04:00 (UTC-4)	195 m		29 m	0:00:09	12 kph	296° true
Trackpoint	S34.99335 W71.26074	08-06-2018 13:04:04 (UTC-4)	194 m		12 m	0:00:04	11 kph	239° true
Trackpoint	S34.99346 W71.26082	08-06-2018 13:04:15 (UTC-4)	194 m		14 m	0:00:11	5 kph	211° true
Trackpoint	S34.99367 W71.26098	08-06-2018 13:04:25 (UTC-4)	194 m		28 m	0:00:10	10 kph	211° true
Trackpoint	S34.99382 W71.26088	08-06-2018 13:04:35 (UTC-4)	196 m		19 m	0:00:10	7 kph	151° true
Trackpoint	S34.99391 W71.26055	08-06-2018 13:04:50 (UTC-4)	195 m		32 m	0:00:15	8 kph	109° true
Trackpoint	S34.99391 W71.26056	08-06-2018 13:05:08 (UTC-4)	196 m		1 m	0:00:18	0.1 kph	281° true
Trackpoint	S34.99393 W71.26055	08-06-2018 13:05:21 (UTC-4)	196 m		2 m	0:00:13	0.5 kph	173° true
Trackpoint	S34.99392 W71.26055	08-06-2018 13:05:38 (UTC-4)	198 m		1 m	0:00:17	0.2 kph	30° true
Trackpoint	S34.99396 W71.26058	08-06-2018 13:05:44 (UTC-4)	199 m		6 m	0:00:06	3 kph	210° true
Trackpoint	S34.99386 W71.26086	08-06-2018 13:05:53 (UTC-4)	199 m		28 m	0:00:09	11 kph	295° true
Trackpoint	S34.99389 W71.26096	08-06-2018 13:05:57 (UTC-4)	199 m		10 m	0:00:04	9 kph	245° true
Trackpoint	S34.99422 W71.26117	08-06-2018 13:06:14 (UTC-4)	199 m		41 m	0:00:17	9 kph	208° true
Trackpoint	S34.99432 W71.26125	08-06-2018 13:06:26 (UTC-4)	198 m		13 m	0:00:12	4 kph	210° true
Trackpoint	S34.99447 W71.26134	08-06-2018 13:06:41 (UTC-4)	198 m		18 m	0:00:15	4 kph	207° true
Trackpoint	S34.99459 W71.26144	08-06-2018 13:06:55 (UTC-4)	198 m		16 m	0:00:14	4 kph	215° true
Trackpoint	S34.99461 W71.26147	08-06-2018 13:07:41 (UTC-4)	197 m		4 m	0:00:46	0.3 kph	228° true
Trackpoint	S34.99462 W71.26149	08-06-2018 13:07:45 (UTC-4)	196 m		2 m	0:00:04	2 kph	248° true
Trackpoint	S34.99453 W71.26168	08-06-2018 13:07:56 (UTC-4)	194 m		20 m	0:00:11	7 kph	298° true
Trackpoint	S34.99443 W71.26190	08-06-2018 13:08:12 (UTC-4)	194 m		22 m	0:00:16	5 kph	300° true
Trackpoint	S34.99436 W71.26210	08-06-2018 13:08:19 (UTC-4)	194 m		20 m	0:00:07	10 kph	294° true
Trackpoint	S34.99443 W71.26218	08-06-2018 13:08:24 (UTC-4)	194 m		11 m	0:00:05	8 kph	220° true
Trackpoint	S34.99456 W71.26225	08-06-2018 13:08:38 (UTC-4)	195 m		15 m	0:00:14	4 kph	207° true
Trackpoint	S34.99455 W71.26226	08-06-2018 13:08:39 (UTC-4)	195 m		1 m	0:00:01	2 kph	297° true
Trackpoint	S34.99442 W71.26217	08-06-2018 13:08:48 (UTC-4)	196 m		17 m	0:00:09	7 kph	30° true
Trackpoint	S34.99439 W71.26215	08-06-2018 13:08:50 (UTC-4)	196 m		4 m	0:00:02	8 kph	26° true
Trackpoint	S34.99444 W71.26192	08-06-2018 13:09:00 (UTC-4)	194 m		22 m	0:00:10	8 kph	107° true
Trackpoint	S34.99447 W71.26187	08-06-2018 13:09:02 (UTC-4)	194 m		5 m	0:00:02	9 kph	126° true
Trackpoint	S34.99459 W71.26153	08-06-2018 13:09:17 (UTC-4)	192 m		34 m	0:00:15	8 kph	114° true
Trackpoint	S34.99464 W71.26140	08-06-2018 13:09:27 (UTC-4)	191 m		13 m	0:00:10	5 kph	113° true
Trackpoint	S34.99467 W71.26132	08-06-2018 13:09:43 (UTC-4)	191 m		8 m	0:00:16	2 kph	111° true
Trackpoint	S34.99471 W71.26121	08-06-2018 13:09:54 (UTC-4)	192 m		11 m	0:00:11	4 kph	116° true
Trackpoint	S34.99474 W71.26115	08-06-2018 13:10:06 (UTC-4)	192 m		6 m	0:00:12	2 kph	120° true
Trackpoint	S34.99474 W71.26113	08-06-2018 13:10:19 (UTC-4)	191 m		1 m	0:00:13	0.4 kph	110° true
Trackpoint	S34.99493 W71.26088	08-06-2018 13:10:33 (UTC-4)	194 m		31 m	0:00:14	8 kph	132° true
Trackpoint	S34.99512 W71.26048	08-06-2018 13:10:50 (UTC-4)	193 m		42 m	0:00:17	9 kph	119° true
Trackpoint	S34.99529 W71.26015	08-06-2018 13:11:07 (UTC-4)	193 m		36 m	0:00:17	8 kph	123° true
Trackpoint	S34.99535 W71.26001	08-06-2018 13:11:29 (UTC-4)	194 m		14 m	0:00:22	2 kph	116° true
Trackpoint	S34.99553 W71.25955	08-06-2018 13:11:43 (UTC-4)	194 m		47 m	0:00:14	12 kph	116° true
Trackpoint	S34.99529 W71.25933	08-06-2018 13:11:56 (UTC-4)	194 m		34 m	0:00:13	9 kph	36° true
Trackpoint	S34.99519 W71.25924	08-06-2018 13:12:08 (UTC-4)	195 m		14 m	0:00:12	4 kph	37° true
