Grid	Lat/Long hddd.ddddd°
Datum	South American '69

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track actual: 07 JUN 2018 14:52	07-06-2018 14:52:45 (UTC-4)	2:27:03	7.5 km	3 kph	

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	S34.98906 W71.25519	07-06-2018 14:57:24 (UTC-4)	192 m			0 m	0:00:06	0.2 kph	154° true
Trackpoint	S34.98907 W71.25519	07-06-2018 14:57:30 (UTC-4)	192 m			1 m	0:00:06	0.4 kph	125° true
Trackpoint	S34.98907 W71.25518	07-06-2018 14:57:36 (UTC-4)	193 m			0 m	0:00:06	0.2 kph	108° true
Trackpoint	S34.98907 W71.25518	07-06-2018 14:57:42 (UTC-4)	193 m			0 m	0:00:06	0.2 kph	48° true
Trackpoint	S34.98906 W71.25518	07-06-2018 14:57:48 (UTC-4)	194 m			0 m	0:00:06	0.1 kph	349° true
Trackpoint	S34.98906 W71.25518	07-06-2018 14:57:54 (UTC-4)	195 m			0 m	0:00:06	0.2 kph	308° true
Trackpoint	S34.98906 W71.25518	07-06-2018 14:58:00 (UTC-4)	195 m			0 m	0:00:06	0.0 kph	234° true
Trackpoint	S34.98907 W71.25518	07-06-2018 14:58:06 (UTC-4)	195 m			0 m	0:00:06	0.2 kph	131° true
Trackpoint	S34.98907 W71.25518	07-06-2018 14:58:12 (UTC-4)	196 m			0 m	0:00:06	0.1 kph	93° true
Trackpoint	S34.98906 W71.25518	07-06-2018 14:58:18 (UTC-4)	195 m			0 m	0:00:06	0.2 kph	342° true
Trackpoint	S34.98906 W71.25518	07-06-2018 14:58:24 (UTC-4)	195 m			0 m	0:00:06	0.2 kph	20° true
Trackpoint	S34.98906 W71.25518	07-06-2018 14:58:30 (UTC-4)	195 m			0 m	0:00:06	0.1 kph	27° true
Trackpoint	S34.98906 W71.25517	07-06-2018 14:58:36 (UTC-4)	195 m			0 m	0:00:06	0.2 kph	82° true
Trackpoint	S34.98906 W71.25517	07-06-2018 14:58:42 (UTC-4)	196 m			0 m	0:00:06	0.2 kph	16° true
Trackpoint	S34.98906 W71.25517	07-06-2018 14:58:48 (UTC-4)	196 m			0 m	0:00:06	0.1 kph	296° true
Trackpoint	S34.98906 W71.25518	07-06-2018 14:58:54 (UTC-4)	196 m			0 m	0:00:06	0.1 kph	298° true
Trackpoint	S34.98905 W71.25518	07-06-2018 14:59:00 (UTC-4)	197 m			0 m	0:00:06	0.2 kph	273° true
Trackpoint	S34.98905 W71.25518	07-06-2018 14:59:06 (UTC-4)	197 m			0 m	0:00:06	0.1 kph	346° true
Trackpoint	S34.98905 W71.25518	07-06-2018 14:59:12 (UTC-4)	197 m			0 m	0:00:06	0.2 kph	358° true
Trackpoint	S34.98905 W71.25518	07-06-2018 14:59:18 (UTC-4)	197 m			0 m	0:00:06	0.1 kph	296° true
Trackpoint	S34.98905 W71.25518	07-06-2018 14:59:24 (UTC-4)	197 m			0 m	0:00:06	0.0 kph	209° true
Trackpoint	S34.98905 W71.25518	07-06-2018 14:59:30 (UTC-4)	198 m			0 m	0:00:06	0.1 kph	71° true
Trackpoint	S34.98905 W71.25518	07-06-2018 14:59:36 (UTC-4)	198 m			0 m	0:00:06	0.1 kph	221° true
Trackpoint	S34.98905 W71.25518	07-06-2018 14:59:42 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	358° true
Trackpoint	S34.98905 W71.25519	07-06-2018 14:59:48 (UTC-4)	199 m			0 m	0:00:06	0.2 kph	256° true
Trackpoint	S34.98905 W71.25518	07-06-2018 14:59:54 (UTC-4)	199 m			0 m	0:00:06	0.2 kph	88° true
Trackpoint	S34.98905 W71.25518	07-06-2018 15:00:00 (UTC-4)	199 m			0 m	0:00:06	0.2 kph	23° true
Trackpoint	S34.98905 W71.25518	07-06-2018 15:00:06 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	295° true
Trackpoint	S34.98905 W71.25518	07-06-2018 15:00:12 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	354° true
Trackpoint	S34.98904 W71.25518	07-06-2018 15:00:18 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	81° true
Trackpoint	S34.98904 W71.25518	07-06-2018 15:00:24 (UTC-4)	199 m			0 m	0:00:06	0.2 kph	58° true
Trackpoint	S34.98904 W71.25518	07-06-2018 15:00:30 (UTC-4)	200 m			0 m	0:00:06	0.1 kph	42° true
