Grid	Lat/Long hddd.ddddd°
Datum	South American '69

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track actual: 08 JUL 2018 18:01	08-07-2018 18:01:34 (UTC-4)	13:50:30	1.2 km	0.1 kph	

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	S34.97723 W71.25655	08-07-2018 18:06:10 (UTC-4)	200 m			0 m	0:00:06	0.1 kph	275° true
Trackpoint	S34.97723 W71.25655	08-07-2018 18:06:16 (UTC-4)	200 m			0 m	0:00:06	0.2 kph	307° true
Trackpoint	S34.97723 W71.25655	08-07-2018 18:06:22 (UTC-4)	200 m			0 m	0:00:06	0.1 kph	299° true
Trackpoint	S34.97723 W71.25655	08-07-2018 18:06:28 (UTC-4)	200 m			0 m	0:00:06	0.0 kph	98° true
Trackpoint	S34.97723 W71.25655	08-07-2018 18:06:34 (UTC-4)	201 m			0 m	0:00:06	0.0 kph	112° true
Trackpoint	S34.97723 W71.25655	08-07-2018 18:06:40 (UTC-4)	201 m			0 m	0:00:06	0.1 kph	94° true
Trackpoint	S34.97723 W71.25655	08-07-2018 18:06:46 (UTC-4)	201 m			0 m	0:00:06	0.1 kph	114° true
Trackpoint	S34.97723 W71.25654	08-07-2018 18:06:52 (UTC-4)	201 m			0 m	0:00:06	0.1 kph	112° true
Trackpoint	S34.97723 W71.25654	08-07-2018 18:06:58 (UTC-4)	201 m			0 m	0:00:06	0.0 kph	68° true
Trackpoint	S34.97723 W71.25654	08-07-2018 18:07:04 (UTC-4)	201 m			0 m	0:00:06	0.1 kph	56° true
Trackpoint	S34.97723 W71.25654	08-07-2018 18:07:10 (UTC-4)	202 m			0 m	0:00:06	0.1 kph	56° true
Trackpoint	S34.97723 W71.25654	08-07-2018 18:07:16 (UTC-4)	202 m			0 m	0:00:06	0.1 kph	75° true
Trackpoint	S34.97723 W71.25654	08-07-2018 18:07:22 (UTC-4)	202 m			0 m	0:00:06	0.1 kph	96° true
Trackpoint	S34.97723 W71.25654	08-07-2018 18:07:28 (UTC-4)	202 m			0 m	0:00:06	0.0 kph	195° true
Trackpoint	S34.97723 W71.25654	08-07-2018 18:07:34 (UTC-4)	202 m			0 m	0:00:06	0.1 kph	121° true
Trackpoint	S34.97723 W71.25653	08-07-2018 18:07:40 (UTC-4)	202 m			0 m	0:00:06	0.1 kph	97° true
Trackpoint	S34.97723 W71.25653	08-07-2018 18:07:46 (UTC-4)	202 m			0 m	0:00:06	0.1 kph	76° true
Trackpoint	S34.97723 W71.25653	08-07-2018 18:07:52 (UTC-4)	202 m			0 m	0:00:06	0.1 kph	79° true
Trackpoint	S34.97723 W71.25653	08-07-2018 18:07:58 (UTC-4)	201 m			0 m	0:00:06	0.1 kph	125° true
Trackpoint	S34.97723 W71.25653	08-07-2018 18:08:04 (UTC-4)	201 m			0 m	0:00:06	0.1 kph	148° true
Trackpoint	S34.97723 W71.25653	08-07-2018 18:08:10 (UTC-4)	201 m			0 m	0:00:06	0.0 kph	97° true
Trackpoint	S34.97723 W71.25653	08-07-2018 18:08:16 (UTC-4)	201 m			0 m	0:00:06	0.0 kph	253° true
Trackpoint	S34.97723 W71.25653	08-07-2018 18:08:22 (UTC-4)	201 m			0 m	0:00:06	0.1 kph	230° true
Trackpoint	S34.97723 W71.25653	08-07-2018 18:08:28 (UTC-4)	201 m			0 m	0:00:06	0.1 kph	245° true
Trackpoint	S34.97723 W71.25653	08-07-2018 18:08:34 (UTC-4)	201 m			0 m	0:00:06	0.1 kph	224° true
Trackpoint	S34.97723 W71.25653	08-07-2018 18:08:40 (UTC-4)	201 m			0 m	0:00:06	0.1 kph	134° true
Trackpoint	S34.97723 W71.25653	08-07-2018 18:08:46 (UTC-4)	201 m			0 m	0:00:06	0.1 kph	87° true
Trackpoint	S34.97724 W71.25653	08-07-2018 18:08:52 (UTC-4)	200 m			0 m	0:00:06	0.1 kph	112° true
Trackpoint	S34.97724 W71.25652	08-07-2018 18:08:58 (UTC-4)	200 m			0 m	0:00:06	0.1 kph	134° true
