Grid	Lat/Long hddd.ddddd°
Datum	South American '69

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track actual: 11 JUL 2018 11:00	11-07-2018 11:00:05 (UTC-4)	6:00:16	12.9 km	2 kph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	S34.98962 W71.25361	11-07-2018 11:04:47 (UTC-4)	199 m		13 m	0:00:06	8 kph	26° true
Trackpoint	S34.98962 W71.25361	11-07-2018 11:04:53 (UTC-4)	199 m		1 m	0:00:06	0.5 kph	355° true
Trackpoint	S34.98962 W71.25361	11-07-2018 11:04:59 (UTC-4)	199 m		0 m	0:00:06	0.1 kph	264° true
Trackpoint	S34.98961 W71.25361	11-07-2018 11:05:05 (UTC-4)	199 m		0 m	0:00:06	0.2 kph	25° true
Trackpoint	S34.98962 W71.25362	11-07-2018 11:05:11 (UTC-4)	199 m		0 m	0:00:06	0.3 kph	235° true
Trackpoint	S34.98962 W71.25362	11-07-2018 11:05:17 (UTC-4)	199 m		0 m	0:00:06	0.1 kph	243° true
Trackpoint	S34.98962 W71.25362	11-07-2018 11:05:23 (UTC-4)	199 m		0 m	0:00:06	0.1 kph	160° true
Trackpoint	S34.98954 W71.25353	11-07-2018 11:05:29 (UTC-4)	200 m		12 m	0:00:06	7 kph	44° true
Trackpoint	S34.98944 W71.25338	11-07-2018 11:05:35 (UTC-4)	200 m		17 m	0:00:06	10 kph	51° true
Trackpoint	S34.98931 W71.25329	11-07-2018 11:05:41 (UTC-4)	200 m		17 m	0:00:06	10 kph	28° true
Trackpoint	S34.98917 W71.25321	11-07-2018 11:05:47 (UTC-4)	200 m		18 m	0:00:06	11 kph	26° true
Trackpoint	S34.98903 W71.25312	11-07-2018 11:05:53 (UTC-4)	200 m		17 m	0:00:06	10 kph	29° true
Trackpoint	S34.98889 W71.25303	11-07-2018 11:05:59 (UTC-4)	201 m		17 m	0:00:06	10 kph	26° true
