Grid	Lat/Long hddd.ddddd°
Datum	South American '69

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track actual: 12 JUL 2018 09:28	12-07-2018 9:28:41 (UTC-4)	5:03:06	19.7 km	4 kph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	S34.97721 W71.25655	12-07-2018 9:33:23 (UTC-4)	208 m		3 m	0:00:07	1.5 kph	302° true
Trackpoint	S34.97722 W71.25653	12-07-2018 9:33:29 (UTC-4)	207 m		2 m	0:00:06	1.0 kph	130° true
Trackpoint	S34.97722 W71.25652	12-07-2018 9:33:35 (UTC-4)	208 m		1 m	0:00:06	0.5 kph	73° true
Trackpoint	S34.97721 W71.25651	12-07-2018 9:33:41 (UTC-4)	208 m		1 m	0:00:06	0.9 kph	58° true
Trackpoint	S34.97721 W71.25651	12-07-2018 9:33:47 (UTC-4)	208 m		0 m	0:00:06	0.2 kph	69° true
Trackpoint	S34.97720 W71.25651	12-07-2018 9:33:53 (UTC-4)	208 m		1 m	0:00:06	0.7 kph	9° true
Trackpoint	S34.97721 W71.25652	12-07-2018 9:33:59 (UTC-4)	207 m		2 m	0:00:06	1.0 kph	249° true
Trackpoint	S34.97721 W71.25652	12-07-2018 9:34:05 (UTC-4)	208 m		1 m	0:00:06	0.4 kph	174° true
Trackpoint	S34.97721 W71.25652	12-07-2018 9:34:11 (UTC-4)	208 m		0 m	0:00:06	0.2 kph	329° true
Trackpoint	S34.97721 W71.25652	12-07-2018 9:34:17 (UTC-4)	209 m		0 m	0:00:06	0.2 kph	56° true
Trackpoint	S34.97721 W71.25652	12-07-2018 9:34:23 (UTC-4)	209 m		0 m	0:00:06	0.2 kph	351° true
Trackpoint	S34.97721 W71.25652	12-07-2018 9:34:28 (UTC-4)	209 m		0 m	0:00:05	0.2 kph	90° true
Trackpoint	S34.97721 W71.25652	12-07-2018 9:34:34 (UTC-4)	209 m		0 m	0:00:06	0.2 kph	307° true
Trackpoint	S34.97721 W71.25654	12-07-2018 9:34:41 (UTC-4)	210 m		2 m	0:00:07	1.0 kph	248° true
Trackpoint	S34.97717 W71.25654	12-07-2018 9:34:47 (UTC-4)	211 m		5 m	0:00:06	3 kph	356° true
Trackpoint	S34.97716 W71.25649	12-07-2018 9:34:53 (UTC-4)	212 m		5 m	0:00:06	3 kph	77° true
Trackpoint	S34.97716 W71.25642	12-07-2018 9:34:59 (UTC-4)	212 m		6 m	0:00:06	4 kph	88° true
Trackpoint	S34.97716 W71.25635	12-07-2018 9:35:05 (UTC-4)	213 m		7 m	0:00:06	4 kph	91° true
Trackpoint	S34.97717 W71.25629	12-07-2018 9:35:11 (UTC-4)	214 m		5 m	0:00:06	3 kph	96° true
Trackpoint	S34.97717 W71.25622	12-07-2018 9:35:17 (UTC-4)	214 m		6 m	0:00:06	4 kph	99° true
Trackpoint	S34.97717 W71.25613	12-07-2018 9:35:23 (UTC-4)	213 m		8 m	0:00:06	5 kph	90° true
Trackpoint	S34.97719 W71.25604	12-07-2018 9:35:29 (UTC-4)	213 m		8 m	0:00:06	5 kph	100° true
Trackpoint	S34.97720 W71.25596	12-07-2018 9:35:35 (UTC-4)	212 m		8 m	0:00:06	5 kph	97° true
Trackpoint	S34.97720 W71.25587	12-07-2018 9:35:41 (UTC-4)	211 m		8 m	0:00:06	5 kph	92° true
Trackpoint	S34.97721 W71.25579	12-07-2018 9:35:47 (UTC-4)	211 m		7 m	0:00:06	4 kph	99° true
Trackpoint	S34.97722 W71.25569	12-07-2018 9:35:53 (UTC-4)	210 m		9 m	0:00:06	6 kph	99° true
Trackpoint	S34.97724 W71.25561	12-07-2018 9:35:59 (UTC-4)	209 m		8 m	0:00:06	5 kph	104° true
Trackpoint	S34.97724 W71.25552	12-07-2018 9:36:05 (UTC-4)	209 m		8 m	0:00:06	5 kph	96° true
Trackpoint	S34.97725 W71.25544	12-07-2018 9:36:11 (UTC-4)	209 m		8 m	0:00:06	5 kph	98° true
Trackpoint	S34.97726 W71.25535	12-07-2018 9:36:17 (UTC-4)	208 m		8 m	0:00:06	5 kph	97° true
Trackpoint	S34.97727 W71.25529	12-07-2018 9:36:23 (UTC-4)	209 m		6 m	0:00:06	4 kph	96° true
Trackpoint	S34.97726 W71.25528	12-07-2018 9:36:29 (UTC-4)	209 m		1 m	0:00:06	0.7 kph	60° true
Trackpoint	S34.97726 W71.25526	12-07-2018 9:36:35 (UTC-4)	208 m		1 m	0:00:06	0.8 kph	101° true
Trackpoint	S34.97727 W71.25522	12-07-2018 9:36:41 (UTC-4)	207 m		4 m	0:00:06	2 kph	98° true
Trackpoint	S34.97730 W71.25506	12-07-2018 9:36:47 (UTC-4)	207 m		15 m	0:00:06	9 kph	102° true
Trackpoint	S34.97733 W71.25489	12-07-2018 9:36:53 (UTC-4)	207 m		16 m	0:00:06	10 kph	102° true
Trackpoint	S34.97733 W71.25481	12-07-2018 9:36:58 (UTC-4)	206 m		7 m	0:00:05	5 kph	96° true
Trackpoint	S34.97734 W71.25470	12-07-2018 9:37:05 (UTC-4)	206 m		10 m	0:00:07	5 kph	93° true
Trackpoint	S34.97736 W71.25452	12-07-2018 9:37:11 (UTC-4)	206 m		16 m	0:00:06	10 kph	98° true
Trackpoint	S34.97738 W71.25434	12-07-2018 9:37:17 (UTC-4)	207 m		17 m	0:00:06	10 kph	99° true
Trackpoint	S34.97741 W71.25416	12-07-2018 9:37:23 (UTC-4)	207 m		17 m	0:00:06	10 kph	99° true
Trackpoint	S34.97743 W71.25396	12-07-2018 9:37:29 (UTC-4)	207 m		18 m	0:00:06	11 kph	98° true
Trackpoint	S34.97745 W71.25376	12-07-2018 9:37:35 (UTC-4)	208 m		18 m	0:00:06	11 kph	98° true
Trackpoint	S34.97748 W71.25357	12-07-2018 9:37:41 (UTC-4)	208 m		18 m	0:00:06	11 kph	99° true
Trackpoint	S34.97749 W71.25337	12-07-2018 9:37:47 (UTC-4)	208 m		18 m	0:00:06	11 kph	94° true
Trackpoint	S34.97751 W71.25316	12-07-2018 9:37:53 (UTC-4)	208 m		19 m	0:00:06	11 kph	98° true
Trackpoint	S34.97754 W71.25296	12-07-2018 9:37:59 (UTC-4)	208 m		19 m	0:00:06	11 kph	99° true
Trackpoint	S34.97756 W71.25276	12-07-2018 9:38:05 (UTC-4)	207 m		18 m	0:00:06	11 kph	98° true
Trackpoint	S34.97758 W71.25258	12-07-2018 9:38:11 (UTC-4)	208 m		17 m	0:00:06	10 kph	98° true
Trackpoint	S34.97760 W71.25243	12-07-2018 9:38:17 (UTC-4)	207 m		14 m	0:00:06	8 kph	100° true
Trackpoint	S34.97766 W71.25226	12-07-2018 9:38:23 (UTC-4)	206 m		16 m	0:00:06	10 kph	115° true
Trackpoint	S34.97774 W71.25208	12-07-2018 9:38:29 (UTC-4)	206 m		19 m	0:00:06	11 kph	119° true
Trackpoint	S34.97783 W71.25190	12-07-2018 9:38:35 (UTC-4)	206 m		19 m	0:00:06	12 kph	120° true
Trackpoint	S34.97791 W71.25171	12-07-2018 9:38:41 (UTC-4)	206 m		19 m	0:00:06	11 kph	116° true
Trackpoint	S34.97799 W71.25153	12-07-2018 9:38:47 (UTC-4)	207 m		19 m	0:00:06	11 kph	120° true
Trackpoint	S34.97808 W71.25135	12-07-2018 9:38:53 (UTC-4)	207 m		19 m	0:00:06	11 kph	120° true
Trackpoint	S34.97816 W71.25117	12-07-2018 9:38:59 (UTC-4)	207 m		19 m	0:00:06	11 kph	119° true
Trackpoint	S34.97825 W71.25098	12-07-2018 9:39:05 (UTC-4)	206 m		20 m	0:00:06	12 kph	119° true
Trackpoint	S34.97834 W71.25081	12-07-2018 9:39:11 (UTC-4)	206 m		19 m	0:00:06	11 kph	124° true
Trackpoint	S34.97843 W71.25062	12-07-2018 9:39:17 (UTC-4)	206 m		20 m	0:00:06	12 kph	120° true
Trackpoint	S34.97852 W71.25043	12-07-2018 9:39:23 (UTC-4)	205 m		20 m	0:00:06	12 kph	120° true
Trackpoint	S34.97861 W71.25024	12-07-2018 9:39:29 (UTC-4)	205 m		20 m	0:00:06	12 kph	120° true
Trackpoint	S34.97870 W71.25006	12-07-2018 9:39:35 (UTC-4)	205 m		20 m	0:00:06	12 kph	120° true
Trackpoint	S34.97879 W71.24987	12-07-2018 9:39:41 (UTC-4)	206 m		20 m	0:00:06	12 kph	121° true
Trackpoint	S34.97889 W71.24967	12-07-2018 9:39:47 (UTC-4)	206 m		20 m	0:00:06	12 kph	121° true
Trackpoint	S34.97899 W71.24948	12-07-2018 9:39:53 (UTC-4)	206 m		20 m	0:00:06	12 kph	122° true
Trackpoint	S34.97909 W71.24928	12-07-2018 9:39:59 (UTC-4)	206 m		21 m	0:00:06	13 kph	121° true
Trackpoint	S34.97919 W71.24908	12-07-2018 9:40:05 (UTC-4)	206 m		21 m	0:00:06	13 kph	122° true
Trackpoint	S34.97930 W71.24890	12-07-2018 9:40:11 (UTC-4)	206 m		21 m	0:00:06	12 kph	126° true
Trackpoint	S34.97942 W71.24873	12-07-2018 9:40:17 (UTC-4)	206 m		20 m	0:00:06	12 kph	131° true
Trackpoint	S34.97955 W71.24857	12-07-2018 9:40:23 (UTC-4)	206 m		21 m	0:00:06	12 kph	133° true
Trackpoint	S34.97968 W71.24841	12-07-2018 9:40:29 (UTC-4)	206 m		20 m	0:00:06	12 kph	137° true
Trackpoint	S34.97982 W71.24827	12-07-2018 9:40:35 (UTC-4)	207 m		20 m	0:00:06	12 kph	140° true
Trackpoint	S34.97997 W71.24815	12-07-2018 9:40:41 (UTC-4)	207 m		20 m	0:00:06	12 kph	146° true
Trackpoint	S34.98014 W71.24804	12-07-2018 9:40:47 (UTC-4)	207 m		22 m	0:00:06	13 kph	154° true
Trackpoint	S34.98031 W71.24794	12-07-2018 9:40:53 (UTC-4)	208 m		21 m	0:00:06	12 kph	154° true
Trackpoint	S34.98048 W71.24786	12-07-2018 9:40:59 (UTC-4)	208 m		20 m	0:00:06	12 kph	158° true
