Grid	Lat/Long hddd.ddddd°
Datum	South American '69

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track actual: 13 JUL 2018 11:31	13-07-2018 11:31:10 (UTC-4)	2:17:09	8.7 km	4 kph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	S34.96648 W71.23218	13-07-2018 11:35:52 (UTC-4)	210 m		0 m	0:00:06	0.3 kph	26° true
Trackpoint	S34.96634 W71.23217	13-07-2018 11:35:58 (UTC-4)	212 m		16 m	0:00:06	10 kph	4° true
Trackpoint	S34.96623 W71.23215	13-07-2018 11:36:03 (UTC-4)	212 m		11 m	0:00:05	8 kph	7° true
Trackpoint	S34.96622 W71.23214	13-07-2018 11:36:10 (UTC-4)	212 m		2 m	0:00:07	0.9 kph	45° true
Trackpoint	S34.96609 W71.23213	13-07-2018 11:36:16 (UTC-4)	212 m		15 m	0:00:06	9 kph	5° true
Trackpoint	S34.96596 W71.23210	13-07-2018 11:36:22 (UTC-4)	213 m		14 m	0:00:06	9 kph	9° true
Trackpoint	S34.96582 W71.23208	13-07-2018 11:36:28 (UTC-4)	214 m		16 m	0:00:06	9 kph	7° true
Trackpoint	S34.96576 W71.23205	13-07-2018 11:36:34 (UTC-4)	214 m		8 m	0:00:06	5 kph	23° true
Trackpoint	S34.96575 W71.23204	13-07-2018 11:36:40 (UTC-4)	214 m		1 m	0:00:06	0.6 kph	27° true
Trackpoint	S34.96575 W71.23204	13-07-2018 11:36:46 (UTC-4)	214 m		1 m	0:00:06	0.3 kph	11° true
Trackpoint	S34.96574 W71.23204	13-07-2018 11:36:52 (UTC-4)	214 m		1 m	0:00:06	0.4 kph	340° true
Trackpoint	S34.96574 W71.23204	13-07-2018 11:36:58 (UTC-4)	213 m		0 m	0:00:06	0.1 kph	169° true
Trackpoint	S34.96568 W71.23205	13-07-2018 11:37:04 (UTC-4)	214 m		6 m	0:00:06	4 kph	358° true
Trackpoint	S34.96559 W71.23203	13-07-2018 11:37:10 (UTC-4)	215 m		11 m	0:00:06	7 kph	10° true
Trackpoint	S34.96545 W71.23201	13-07-2018 11:37:16 (UTC-4)	215 m		15 m	0:00:06	9 kph	6° true
Trackpoint	S34.96535 W71.23201	13-07-2018 11:37:21 (UTC-4)	216 m		11 m	0:00:05	8 kph	357° true
Trackpoint	S34.96534 W71.23202	13-07-2018 11:37:28 (UTC-4)	215 m		2 m	0:00:07	0.8 kph	344° true
Trackpoint	S34.96534 W71.23202	13-07-2018 11:37:34 (UTC-4)	215 m		0 m	0:00:06	0.0 kph	158° true
Trackpoint	S34.96534 W71.23201	13-07-2018 11:37:40 (UTC-4)	215 m		0 m	0:00:06	0.3 kph	104° true
Trackpoint	S34.96534 W71.23201	13-07-2018 11:37:46 (UTC-4)	214 m		0 m	0:00:06	0.2 kph	153° true
Trackpoint	S34.96534 W71.23201	13-07-2018 11:37:52 (UTC-4)	214 m		0 m	0:00:06	0.1 kph	138° true
Trackpoint	S34.96535 W71.23201	13-07-2018 11:37:58 (UTC-4)	214 m		0 m	0:00:06	0.2 kph	210° true
Trackpoint	S34.96535 W71.23201	13-07-2018 11:38:04 (UTC-4)	213 m		0 m	0:00:06	0.0 kph	34° true
Trackpoint	S34.96534 W71.23201	13-07-2018 11:38:10 (UTC-4)	213 m		0 m	0:00:06	0.2 kph	50° true
Trackpoint	S34.96534 W71.23201	13-07-2018 11:38:16 (UTC-4)	213 m		0 m	0:00:06	0.2 kph	45° true
Trackpoint	S34.96534 W71.23201	13-07-2018 11:38:22 (UTC-4)	213 m		0 m	0:00:06	0.2 kph	24° true
Trackpoint	S34.96534 W71.23197	13-07-2018 11:38:28 (UTC-4)	214 m		3 m	0:00:06	2 kph	85° true
Trackpoint	S34.96533 W71.23188	13-07-2018 11:38:33 (UTC-4)	214 m		8 m	0:00:05	6 kph	80° true
Trackpoint	S34.96531 W71.23188	13-07-2018 11:38:40 (UTC-4)	214 m		1 m	0:00:07	0.7 kph	355° true
Trackpoint	S34.96530 W71.23188	13-07-2018 11:38:46 (UTC-4)	214 m		1 m	0:00:06	0.8 kph	3° true
Trackpoint	S34.96530 W71.23187	13-07-2018 11:38:52 (UTC-4)	214 m		1 m	0:00:06	0.3 kph	57° true
Trackpoint	S34.96533 W71.23170	13-07-2018 11:38:58 (UTC-4)	212 m		16 m	0:00:06	10 kph	101° true
Trackpoint	S34.96538 W71.23151	13-07-2018 11:39:04 (UTC-4)	212 m		18 m	0:00:06	11 kph	108° true
Trackpoint	S34.96544 W71.23132	13-07-2018 11:39:10 (UTC-4)	211 m		19 m	0:00:06	11 kph	112° true
Trackpoint	S34.96547 W71.23126	13-07-2018 11:39:16 (UTC-4)	211 m		6 m	0:00:06	4 kph	118° true
Trackpoint	S34.96547 W71.23126	13-07-2018 11:39:22 (UTC-4)	211 m		1 m	0:00:06	0.4 kph	160° true
Trackpoint	S34.96547 W71.23126	13-07-2018 11:39:28 (UTC-4)	211 m		0 m	0:00:06	0.2 kph	80° true
Trackpoint	S34.96547 W71.23126	13-07-2018 11:39:34 (UTC-4)	212 m		0 m	0:00:06	0.2 kph	325° true
Trackpoint	S34.96547 W71.23126	13-07-2018 11:39:40 (UTC-4)	212 m		0 m	0:00:06	0.1 kph	202° true
Trackpoint	S34.96547 W71.23126	13-07-2018 11:39:46 (UTC-4)	213 m		0 m	0:00:06	0.2 kph	145° true
Trackpoint	S34.96548 W71.23126	13-07-2018 11:39:52 (UTC-4)	213 m		0 m	0:00:06	0.1 kph	161° true
Trackpoint	S34.96548 W71.23126	13-07-2018 11:39:58 (UTC-4)	213 m		0 m	0:00:06	0.1 kph	105° true
Trackpoint	S34.96549 W71.23122	13-07-2018 11:40:04 (UTC-4)	214 m		4 m	0:00:06	2 kph	118° true
Trackpoint	S34.96714 W71.24172	13-07-2018 13:40:40 (UTC-4)	215 m		9 m	0:00:06	6 kph	76° true
Trackpoint	S34.96713 W71.24182	13-07-2018 13:40:46 (UTC-4)	216 m		9 m	0:00:06	6 kph	277° true
Trackpoint	S34.96714 W71.24185	13-07-2018 13:40:52 (UTC-4)	217 m		3 m	0:00:06	2 kph	251° true
Trackpoint	S34.96714 W71.24186	13-07-2018 13:40:58 (UTC-4)	217 m		1 m	0:00:06	0.6 kph	223° true
